"","Name of the ecoregion / ID","Number of species (and observations)","Plant Richness","Lat (min; max)","Lon (min; max)","Area"
"49","Scandinavian Montane Birch forest and grasslands/ 81110","209 (5607)","1000","68 (59;70)","18.6 (7;27)","244865"
"50","Cerrado/ 60704","208 (910)","6500","-22 (-23;-15)","-47.5 (-49;-45)","1910038"
"51","Central Ranges xeric scrub/ 11302","198 (226)","1400","-23.7 (-25;-24)","133.9 (128;134)","281051"
"52","Cantebury-Otago tussock grasslands/ 10801","195 (448)","800","-45.4 (-46;-42)","170.2 (168;174)","53594"
"53","Northwestern Congolian lowland forests/ 30126","194 (328)","4100","3.6 (3;4)","11.6 (11;12)","432190"
"54","South China-Vietnam subtropical evergreen forests/ 40149","189 (335)","6500","20.3 (19;24)","108.9 (107;114)","223724"
"55","Southeast Australia temperate forests/ 10409","187 (247)","2400","-37.5 (-39;-34)","146.7 (145;150)","272353"
"56","Brahmaputra Valley semi-evergreen forests/ 40105","176 (226)","2500","26.9 (27;27)","92.9 (93;93)","56613"
"57","Yucatán moist forests/ 60181","171 (312)","1600","19 (18;20)","-88.5 (-90;-88)","69482"
"58","Chiquitano dry forests/ 60212","168 (510)","1200","-15.8 (-17;-14)","-61.7 (-63;-61)","229767"
"59","Huang He Plain mixed forests/ 80424","162 (451)","2800","35.1 (34;40)","116.6 (108;121)","434240"
"60","New Britain-New Ireland lowland rain forests/ 10111","161 (260)","2700","-5.4 (-6;-3)","150.1 (150;153)","34916"
"61","Po Basin mixed forests/ 80432","160 (1489)","1200","45.4 (44;46)","9.2 (9;13)","42461"
"62","Cyprus Mediterranean forests/ 81206","154 (156)","1500","35 (35;35)","34 (34;34)","9273"
"63","Scandinavian and Russian taiga/ 80608","152 (1176)","1400","60.6 (58;68)","53.4 (8;60)","2170288"
"64","Central China loess plateau mixed forests/ 80411","149 (242)","3100","40 (36;43)","115.4 (108;117)","359867"
"65","Hawaii tropical moist forests/ 70106","146 (493)","935","21.3 (19;22)","-157.8 (-160;-155)","6718"
"66","New England-Acadian forests/ 50410","143 (1707)","1496","45.4 (42;45)","-71.9 (-73;-68)","238153"
"67","Ucayali moist forests/ 60174","142 (353)","4050","-5.9 (-9;-6)","-76.1 (-76;-75)","114443"
"68","Peninsular Malaysian rain forests/ 40146","141 (182)","7000","1.4 (1;4)","103.8 (102;104)","124944"
"69","Southeastern conifer forests/ 50529","141 (3403)","3095","29.7 (27;31)","-82.4 (-90;-81)","236352"
"70","Central American dry forests/ 60209","138 (201)","3300","10.5 (10;11)","-85.5 (-86;-85)","67773"
"71","Ural montane forests and tundra/ 80610","136 (244)","1600","54.6 (55;61)","58.8 (57;60)","175548"
