"","V1","V2"
"1","Lon","Lon ist the longitudinal values (ecoregion median), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"2","Lat","Lat ist the latitudinal values (ecoregion median), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"3","ECO_NAME","ECO_NAME ist the name of the ecoregion according to Olson et al. 2001 in which this individual has been sampled."
"4","BIOME","BIOME ist the number of the biome according to Olson et al. 2001 in which this individual has been sampled."
"5","ECO_ID","ECO_ID ist the ID of the ecoregion according to Olson et al. 2001 in which this individual has been sampled."
"6","max.lat","Maximum latitudinal extend of this ecoregion."
"7","min.lat","Minimum latitudinal extend of this ecoregion."
"8","max.lon","Maximum longitudinal extend of this ecoregion."
"9","min.lon","Minimmum longitudinal extend of this ecoregion."
"10","species.count","Number of observed species for all of traits of this ecoregion."
"11","observation.count.tot","Number of observed samples for all of traits of this ecoregion."
"12","Kier_richness","Number of estimated species per ecoregion by Kier et al. 2005."
"13","Kier_area",NA
"14","observation.count.tot.1","Number of observed samples for all of traits of this ecoregion."
"15","observation.count.tot.2","Number of observed samples for all of traits of this ecoregion."
"16","observation.count.LeArea","Leaf area (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"17","observation.count.SSD","Stem specific density (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"18","observation.count.SLA","Specific leaf area (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"19","observation.count.LeC","Leaf carbon concentration (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"20","observation.count.LeN","Leaf nitrogen concentration (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"21","observation.count.LeP","Leaf phosphorous concentration (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"22","observation.count.PlantHeight","Plant height (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"23","observation.count.SeedMass","Seed mass (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"24","observation.count.SeLen","Seed length (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"25","observation.count.LeNArea","Leaf nitrogen per leaf area (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"26","observation.count.LeNP","Leaf nitrogen/phosphorous concentration ratio (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
